a_id,user_id,post_id,post_text,annotation_date,result,issue,comments
774,5,1980_v11_only_lm_1500,The criminals have it made in this country...why do they make honest people go through so much to get a hand gun?,2025-12-21 02:52:29.520445,"{'post_id': '1980_v11_only_lm_1500', 'comments': '', 'post_text': 'The criminals have it made in this country...why do they make honest people go through so much to get a hand gun?', 'post_issue': 'Do you know of any gun control laws in america??:', 'otherErrorQuestion1': 'other2', 'otherErrorQuestion2': 'other8', 'otherErrorQuestion3': 'other12', 'otherErrorQuestion4': 'other18', 'post_rewritten_part': 'The criminals have it easy in this country; why do they make honest people go through so much to get a handgun?', 'post_inappropriate_part': 'The criminals have it made in this country...why do they make honest people go through so much to get a hand gun?'}",Do you know of any gun control laws in america??:,
892,4,1117_v11_only_lm_918,btw,2025-12-21 15:46:59.564607,"{'post_id': '1117_v11_only_lm_918', 'comments': '', 'post_text': 'btw', 'post_issue': 'Is porn wrong:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': 'By the way', 'post_inappropriate_part': 'btw'}",Is porn wrong:,
762,5,1462_base_model_1093,"If god loves everyone then y does he hate gays and the bible is just a book, have you ever wondered that the one cardinal who translated it changed some things to make ""god"" look good",2025-12-21 02:50:35.791326,"{'post_id': '1462_base_model_1093', 'comments': '', 'post_text': 'If god loves everyone then y does he hate gays and the bible is just a book, have you ever wondered that the one cardinal who translated it changed some things to make ""god"" look good', 'post_issue': 'Christianity or atheism:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': ',', 'post_inappropriate_part': 'y'}",Christianity or atheism:,
763,5,705_v11_only_lm_508,"The deal is: ""Freedom of speech goes both ways"" People not only have a right to say pretty much what they want, other people have a right to object, argue & even ask for an apology.",2025-12-21 02:50:42.605691,"{'post_id': '705_v11_only_lm_508', 'comments': '', 'post_text': 'The deal is: ""Freedom of speech goes both ways"" People not only have a right to say pretty much what they want, other people have a right to object, argue & even ask for an apology.', 'post_issue': 'So much for the first amendment!!!?:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': ""The deal is: '"", 'post_inappropriate_part': 'The deal is: ""'}",So much for the first amendment!!!?:,
764,5,513_v11_only_lm_392,I wouldn't care if I grew up and had lousy father even if he has no job or life and maybe even an alcohlic.,2025-12-21 02:50:48.941738,"{'post_id': '513_v11_only_lm_392', 'comments': '', 'post_text': ""I wouldn't care if I grew up and had lousy father even if he has no job or life and maybe even an alcohlic."", 'post_issue': 'Is it better to have a lousy father or to be fatherless:', 'otherErrorQuestion1': 'other2', 'otherErrorQuestion2': 'other8', 'otherErrorQuestion3': 'other13', 'otherErrorQuestion4': 'other18', 'post_rewritten_part': 'who was unemployed, struggled with life', 'post_inappropriate_part': 'even if he has no job or life'}",Is it better to have a lousy father or to be fatherless:,
769,5,1977_v11_only_lm_1492,i would love to see that day.,2025-12-21 02:51:44.968470,"{'post_id': '1977_v11_only_lm_1492', 'comments': '', 'post_text': 'i would love to see that day.', 'post_issue': 'Will cigarettes finally become illegal?:', 'otherErrorQuestion1': 'other4', 'otherErrorQuestion2': 'other9', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other19', 'post_rewritten_part': 'I would love to see that day become a reality.', 'post_inappropriate_part': 'i would love to see that day'}",Will cigarettes finally become illegal?:,
771,5,1349_50a_50ss_459,It doesn't mean that you are free of the consequences.,2025-12-21 02:52:08.715947,"{'post_id': '1349_50a_50ss_459', 'comments': '', 'post_text': ""It doesn't mean that you are free of the consequences."", 'post_issue': 'Do you believe that news reporters should go to jail for what they write?:', 'otherErrorQuestion1': 'other2', 'otherErrorQuestion2': 'other7', 'otherErrorQuestion3': 'other13', 'otherErrorQuestion4': 'other18', 'post_rewritten_part': 'The Government is more likely to prosecute a leaker of classified information than to give up a case against a source to get the name of the mole', 'post_inappropriate_part': ""It doesn't mean that you are free of the consequences""}",Do you believe that news reporters should go to jail for what they write?:,
772,5,1970_50a_50ss_600,It seems that what bothers you most is the inconsistency of laws.,2025-12-21 02:52:14.762838,"{'post_id': '1970_50a_50ss_600', 'comments': '', 'post_text': 'It seems that what bothers you most is the inconsistency of laws.', 'post_issue': 'Do you hate ""law"" as much as i hate ""law""?:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': 'me', 'post_inappropriate_part': 'you'}","Do you hate ""law"" as much as i hate ""law""?:",
773,5,400_v11_only_lm_297,"In other words, how do you draw a line?",2025-12-21 02:52:22.901698,"{'post_id': '400_v11_only_lm_297', 'comments': '', 'post_text': 'In other words, how do you draw a line?', 'post_issue': ""Why does the government have the right to enact 'morals' laws?:"", 'otherErrorQuestion1': 'other4', 'otherErrorQuestion2': 'other9', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other18', 'post_rewritten_part': 'how do you determine the line', 'post_inappropriate_part': 'how do you draw a line'}",Why does the government have the right to enact 'morals' laws?:,
775,5,1025_base_model_773,Wake up guys!,2025-12-21 02:52:51.323816,"{'post_id': '1025_base_model_773', 'comments': '', 'post_text': 'Wake up guys!', 'post_issue': 'Do you think that the govenment should have the right to tell us what we can put into our bodies like marijuna:', 'otherErrorQuestion1': 'other2', 'otherErrorQuestion2': 'other8', 'otherErrorQuestion3': 'other13', 'otherErrorQuestion4': 'other18', 'post_rewritten_part': ""Let's wake up and have a rational discussion."", 'post_inappropriate_part': 'Wake up guys!'}",Do you think that the govenment should have the right to tell us what we can put into our bodies like marijuna:,
776,5,1241_base_model_966,The news makes us distrust each other.,2025-12-21 02:52:59.104291,"{'post_id': '1241_base_model_966', 'comments': '', 'post_text': 'The news makes us distrust each other.', 'post_issue': 'Jack thompson   stance: do you think that jack thompson is right. that video games are the reason more and more young people:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other9', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': 'The news erodes our trust in each other', 'post_inappropriate_part': 'The news makes us distrust each other'}",Jack thompson   stance: do you think that jack thompson is right. that video games are the reason more and more young people:,
778,5,1612_v11_only_lm_1268,I'm an avid christian and I believe that gay marriage is wrong beyond belief.,2025-12-21 02:53:31.568383,"{'post_id': '1612_v11_only_lm_1268', 'comments': '', 'post_text': ""I'm an avid christian and I believe that gay marriage is wrong beyond belief."", 'post_issue': 'Gay marriage right or wrong:', 'otherErrorQuestion1': 'other3', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other14', 'otherErrorQuestion4': 'other19', 'post_rewritten_part': 'As a devout Christian', 'post_inappropriate_part': ""I'm an avid christian""}",Gay marriage right or wrong:,
779,5,291_v11_only_lm_221,"If we have rights and need to respect one another, does that mean we should have love and compassion for our creations?",2025-12-21 02:53:44.979344,"{'post_id': '291_v11_only_lm_221', 'comments': '', 'post_text': 'If we have rights and need to respect one another, does that mean we should have love and compassion for our creations?', 'post_issue': 'If humans were created, are we technically artificial intelligence?   stance: yes.:', 'otherErrorQuestion1': 'other4', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other19', 'post_rewritten_part': 'does that imply we should have', 'post_inappropriate_part': 'does that mean we should have'}","If humans were created, are we technically artificial intelligence?   stance: yes.:",
777,5,666_v11_only_lm_472,"In the United States of America, pro-choice is the only constitutional way to go.",2025-12-21 02:53:17.956353,"{'post_id': '666_v11_only_lm_472', 'comments': '', 'post_text': 'In the United States of America, pro-choice is the only constitutional way to go.', 'post_issue': 'Pro choice vs pro life:', 'otherErrorQuestion1': 'other3', 'otherErrorQuestion2': 'other8', 'otherErrorQuestion3': 'other13', 'otherErrorQuestion4': 'other19', 'post_rewritten_part': 'pro-choice is the only constitutional stance', 'post_inappropriate_part': 'pro-choice is the only constitutional way to go'}",Pro choice vs pro life:,
780,5,577_v11_only_lm_440,It's boring.,2025-12-21 02:53:59.005649,"{'post_id': '577_v11_only_lm_440', 'comments': '', 'post_text': ""It's boring."", 'post_issue': 'What is the worst thing about being in jail?:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': ""It's often boring."", 'post_inappropriate_part': ""It's boring.""}",What is the worst thing about being in jail?:,
781,5,1845_v11_only_lm_1399,"The latest front page post of the sticker that says ""Guns don't kill people, people with God kill people"" has led me to write this CMV.",2025-12-21 02:54:23.074678,"{'post_id': '1845_v11_only_lm_1399', 'comments': '', 'post_text': 'The latest front page post of the sticker that says ""Guns don\'t kill people, people with God kill people"" has led me to write this CMV.', 'post_issue': 'Cmv: i feel /r/atheism is more about embracing hatred towards religion, and less about embracing atheism:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': 'The latest front page post of a sticker', 'post_inappropriate_part': 'The latest front page post of the sticker'}","Cmv: i feel /r/atheism is more about embracing hatred towards religion, and less about embracing atheism:",
782,5,707_base_model_486,Capital punishment is simply the best law enforcement out there.,2025-12-21 02:54:31.711900,"{'post_id': '707_base_model_486', 'comments': '', 'post_text': 'Capital punishment is simply the best law enforcement out there.', 'post_issue': 'How many of you support capital punishment and why?:', 'otherErrorQuestion1': 'other4', 'otherErrorQuestion2': 'other9', 'otherErrorQuestion3': 'other14', 'otherErrorQuestion4': 'other18', 'post_rewritten_part': 'a widely debated law enforcement tool', 'post_inappropriate_part': 'simply the best law enforcement out there'}",How many of you support capital punishment and why?:,
783,5,2156_v11_only_lm_1627,She's highly in favour of a number of things that will only serve to benefit the rich and wealthy of the country (like academies and raising tuition fees even further) and I doubt that anything will change from Gove's reign of terror - We may even see it get worse.,2025-12-21 02:54:43.547257,"{'post_id': '2156_v11_only_lm_1627', 'comments': '', 'post_text': ""She's highly in favour of a number of things that will only serve to benefit the rich and wealthy of the country (like academies and raising tuition fees even further) and I doubt that anything will change from Gove's reign of terror - We may even see it get worse."", 'post_issue': 'Cmv: nicky morgan, the new education secretary, is just as awful as gove.:', 'otherErrorQuestion1': 'other3', 'otherErrorQuestion2': 'other8', 'otherErrorQuestion3': 'other14', 'otherErrorQuestion4': 'other18', 'post_rewritten_part': 'She supports policies that', 'post_inappropriate_part': ""She's highly in favour of a number of things""}","Cmv: nicky morgan, the new education secretary, is just as awful as gove.:",
784,5,598_v11_only_lm_465,"When you back an animal into a corner, it will strike with full force.",2025-12-21 02:54:53.684930,"{'post_id': '598_v11_only_lm_465', 'comments': '', 'post_text': 'When you back an animal into a corner, it will strike with full force.', 'post_issue': 'Cmv: the ""stop bullying"" campaign is total bullshit. the best thing we can do is let kids defend themselves.:', 'otherErrorQuestion1': 'other3', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other13', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': 'When you corner an animal, it will strike with full force.', 'post_inappropriate_part': 'When you back an animal into a corner, it will strike with full force.'}","Cmv: the ""stop bullying"" campaign is total bullshit. the best thing we can do is let kids defend themselves.:",
785,5,788_base_model_564,Who said anything about FF/mozilla having anything to do with steve jobs/apple?,2025-12-21 02:55:02.217182,"{'post_id': '788_base_model_564', 'comments': '', 'post_text': 'Who said anything about FF/mozilla having anything to do with steve jobs/apple?', 'post_issue': 'Firefox vs internet explorer:', 'otherErrorQuestion1': 'other2', 'otherErrorQuestion2': 'other7', 'otherErrorQuestion3': 'other14', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': ""There's no connection between"", 'post_inappropriate_part': 'Who said anything about'}",Firefox vs internet explorer:,
786,5,81_base_model_66,"That is the beauty of the USA, you have no health care.",2025-12-21 02:56:12.077667,"{'post_id': '81_base_model_66', 'comments': '', 'post_text': 'That is the beauty of the USA, you have no health care.', 'post_issue': ""My brother is  @ a tx state prison he's broken his two front dentures and they do not want to fix them!?:"", 'otherErrorQuestion1': 'other3', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': 'you have no universal healthcare.', 'post_inappropriate_part': 'you have no health care.'}",My brother is  @ a tx state prison he's broken his two front dentures and they do not want to fix them!?:,
787,5,330_v11_only_lm_245,"And you proved my point - ""species have certain characteristics and properties"" I noticed you didn't mention that their characteristics randomly change And by the way, I'm just wondering because I'm a curious person...",2025-12-21 02:56:28.715951,"{'post_id': '330_v11_only_lm_245', 'comments': '', 'post_text': 'And you proved my point - ""species have certain characteristics and properties"" I noticed you didn\'t mention that their characteristics randomly change And by the way, I\'m just wondering because I\'m a curious person...', 'post_issue': 'Evolution vs creation:', 'otherErrorQuestion1': 'other4', 'otherErrorQuestion2': 'other9', 'otherErrorQuestion3': 'other14', 'otherErrorQuestion4': 'other19', 'post_rewritten_part': ""I noticed you didn't mention that their characteristics can change"", 'post_inappropriate_part': ""I noticed you didn't mention that their characteristics randomly change""}",Evolution vs creation:,
788,5,1361_v11_only_lm_1118,So the actually pronunciation does not take away form the degradation of the word.,2025-12-21 02:56:59.969093,"{'post_id': '1361_v11_only_lm_1118', 'comments': '', 'post_text': 'So the actually pronunciation does not take away form the degradation of the word.', 'post_issue': 'Why do black people call each other the n word?:', 'otherErrorQuestion1': 'other3', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other19', 'post_rewritten_part': 'does not detract from the degradation of the word', 'post_inappropriate_part': 'does not take away form the degradation of the word'}",Why do black people call each other the n word?:,
789,5,1632_50a_50ss_515,There are ways to avoid the situation of abortion.,2025-12-21 02:57:09.578629,"{'post_id': '1632_50a_50ss_515', 'comments': '', 'post_text': 'There are ways to avoid the situation of abortion.', 'post_issue': 'Pro choice vs pro life:', 'otherErrorQuestion1': 'other2', 'otherErrorQuestion2': 'other8', 'otherErrorQuestion3': 'other14', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': 'thousands of people waiting to adopt a baby, so the woman has the option of giving the baby up for adoption instead of having an', 'post_inappropriate_part': 'ways to avoid the situation of'}",Pro choice vs pro life:,
1329,3,1005_50a_50ss_329,And if you are going to be irresponsible dont let a new life die for it!,2025-12-22 02:50:17.322108,"{'post_id': '1005_50a_50ss_329', 'comments': '', 'post_text': 'And if you are going to be irresponsible dont let a new life die for it!', 'post_issue': 'Pro choice vs pro life:', 'otherErrorQuestion1': 'other2', 'otherErrorQuestion2': 'other6', 'otherErrorQuestion3': 'other11', 'otherErrorQuestion4': 'other18', 'post_rewritten_part': 'a woman decides to go through with the pregnancy, it is important that she has access to the best medical care available to ensure that the baby is healthy.', 'post_inappropriate_part': 'you are going to be irresponsible dont let a new life die for it!'}",Pro choice vs pro life:,
1330,3,2156_v11_only_lm_1625,Gove was an absolute blight on education and now we have this woman whose previous title is minister of women and equality but who also voted against gay marriage.,2025-12-22 02:50:35.415740,"{'post_id': '2156_v11_only_lm_1625', 'comments': '', 'post_text': 'Gove was an absolute blight on education and now we have this woman whose previous title is minister of women and equality but who also voted against gay marriage.', 'post_issue': 'Cmv: nicky morgan, the new education secretary, is just as awful as gove.:', 'otherErrorQuestion1': 'other3', 'otherErrorQuestion2': 'other8', 'otherErrorQuestion3': 'other13', 'otherErrorQuestion4': 'other18', 'post_rewritten_part': 'Nicky Morgan', 'post_inappropriate_part': 'this woman'}","Cmv: nicky morgan, the new education secretary, is just as awful as gove.:",
1332,3,1632_v11_only_lm_1287,There are thousands of people on the waiting list for another baby to add to their family.,2025-12-22 02:51:06.802174,"{'post_id': '1632_v11_only_lm_1287', 'comments': '', 'post_text': 'There are thousands of people on the waiting list for another baby to add to their family.', 'post_issue': 'Pro choice vs pro life:', 'otherErrorQuestion1': 'other3', 'otherErrorQuestion2': 'other9', 'otherErrorQuestion3': 'other12', 'otherErrorQuestion4': 'other18', 'post_rewritten_part': 'There are thousands of people on waiting lists', 'post_inappropriate_part': 'There are thousands of people on the waiting list'}",Pro choice vs pro life:,
1333,3,1029_v11_only_lm_840,my sister does this for a living and their departements are severly underfunded and understaffed.,2025-12-22 02:51:26.069516,"{'post_id': '1029_v11_only_lm_840', 'comments': '', 'post_text': 'my sister does this for a living and their departements are severly underfunded and understaffed.', 'post_issue': 'Do you feel that child protective services are doing there job protecting children.?:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other19', 'post_rewritten_part': 'is severely underfunded and understaffed', 'post_inappropriate_part': 'are severly underfunded and understaffed'}",Do you feel that child protective services are doing there job protecting children.?:,
1335,3,1137_50a_50ss_387,"So he created some single-celled organisms billions of years ago, and then said to himself ""I'm going to set this thing called evolution going and see what happens.",2025-12-22 02:51:57.069221,"{'post_id': '1137_50a_50ss_387', 'comments': '', 'post_text': 'So he created some single-celled organisms billions of years ago, and then said to himself ""I\'m going to set this thing called evolution going and see what happens.', 'post_issue': 'Evolution vs creation:', 'otherErrorQuestion1': 'other2', 'otherErrorQuestion2': 'other6', 'otherErrorQuestion3': 'other11', 'otherErrorQuestion4': 'other18', 'post_rewritten_part': 'According to the theory of evolution, humans evolved from a single common ancestor, which makes our common ancestor with Jesus Christ millions of years ago', 'post_inappropriate_part': 'So he created some single-celled organisms billions of years ago, and then said to himself ""I\'m going to set this thing called evolution going and see what happens'}",Evolution vs creation:,
1336,3,2153_base_model_1500,"But basically I was talking with my parents who are both vehemently religious and I made a realization that while religion does contribute to wars, the biggest problem that religion is that it prevents the spread of advancement in science, specifically in the fields of medicine, climate, and biology (with issues in climate change and evolution), and society, specifically with same-sex marriage, abortion, contraception, marijuana, et cetera.",2025-12-22 02:52:31.603351,"{'post_id': '2153_base_model_1500', 'comments': '', 'post_text': 'But basically I was talking with my parents who are both vehemently religious and I made a realization that while religion does contribute to wars, the biggest problem that religion is that it prevents the spread of advancement in science, specifically in the fields of medicine, climate, and biology (with issues in climate change and evolution), and society, specifically with same-sex marriage, abortion, contraception, marijuana, et cetera.', 'post_issue': ""Cmv: the biggest problem with religion isn't the amount of violence waged in its name, but the amount of advancement in science and society that is stifled because of what some believe.:"", 'otherErrorQuestion1': 'other4', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other19', 'post_rewritten_part': 'in fields like medicine, climate, and biology, as well as societal advancements in areas such as same-sex marriage, abortion, contraception, and marijuana laws.', 'post_inappropriate_part': 'that it prevents the spread of advancement in science, specifically in the fields of medicine, climate, and biology (with issues in climate change and evolution), and society, specifically with same-sex marriage, abortion, contraception, marijuana, et cetera.'}","Cmv: the biggest problem with religion isn't the amount of violence waged in its name, but the amount of advancement in science and society that is stifled because of what some believe.:",
1338,3,1155_v11_only_lm_964,And i know that none of us are unknown to the great contribution of INDIA in the discovery of god partical then from where the matter comes from that INDIA is not having the pottential,2025-12-22 02:53:15.133600,"{'post_id': '1155_v11_only_lm_964', 'comments': '', 'post_text': 'And i know that none of us are unknown to the great contribution of INDIA in the discovery of god partical then from where the matter comes from that INDIA is not having the pottential', 'post_issue': 'India has the potential to lead the world:', 'otherErrorQuestion1': 'other3', 'otherErrorQuestion2': 'other9', 'otherErrorQuestion3': 'other13', 'otherErrorQuestion4': 'other18', 'post_rewritten_part': ""India's great contributions to"", 'post_inappropriate_part': 'the great contribution of INDIA'}",India has the potential to lead the world:,
1389,3,566_base_model_396,"""The Path to Hell Is Paved with Good Intentions"".",2025-12-22 22:32:20.537736,"{'post_id': '566_base_model_396', 'comments': '', 'post_text': '""The Path to Hell Is Paved with Good Intentions"".', 'post_issue': 'Why did the nazis hate the jews so much as to gas them?:', 'otherErrorQuestion1': 'other4', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other19', 'post_rewritten_part': ""The phrase 'The Path to Hell Is Paved with Good Intentions' is often used to caution against the dangers of good intentions gone wrong."", 'post_inappropriate_part': 'The Path to Hell Is Paved with Good Intentions'}",Why did the nazis hate the jews so much as to gas them?:,
790,5,1902_v11_only_lm_1447,How are we supposed to curb childhood obesity if we don't start at a young age?,2025-12-21 02:58:07.142735,"{'post_id': '1902_v11_only_lm_1447', 'comments': '', 'post_text': ""How are we supposed to curb childhood obesity if we don't start at a young age?"", 'post_issue': 'Should physical education be mandatory in schools:', 'otherErrorQuestion1': 'other3', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other19', 'post_rewritten_part': ""if we don't start addressing it at a young age"", 'post_inappropriate_part': ""if we don't start at a young age""}",Should physical education be mandatory in schools:,
791,5,573_v11_only_lm_431,Answer is NO!,2025-12-21 02:59:07.761248,"{'post_id': '573_v11_only_lm_431', 'comments': '', 'post_text': 'Answer is NO!', 'post_issue': 'Should newspapers that work against our war effort be tolerated?:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': 'The answer is no.', 'post_inappropriate_part': 'Answer is NO!'}",Should newspapers that work against our war effort be tolerated?:,
792,4,2021_v11_only_lm_1528,They are independent.,2025-12-21 11:47:56.579805,"{'post_id': '2021_v11_only_lm_1528', 'comments': 'Assuming they is the animals, the edit is okay.', 'post_text': 'They are independent.', 'post_issue': 'Dogs or cats   stance: cats:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other9', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': 'They are often independent animals.', 'post_inappropriate_part': 'They are independent.'}",Dogs or cats   stance: cats:,"Assuming they is the animals, the edit is okay."
793,4,1137_base_model_870,Not in 2000?,2025-12-21 11:48:14.115915,"{'post_id': '1137_base_model_870', 'comments': '', 'post_text': 'Not in 2000?', 'post_issue': 'Evolution vs creation:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': 'Not in 2000, presumably?', 'post_inappropriate_part': 'Not in 2000'}",Evolution vs creation:,
794,4,1587_v11_only_lm_1237,"YES, because some children don't understand anything expect physical education especially rich children of rich parents.",2025-12-21 11:50:08.097223,"{'post_id': '1587_v11_only_lm_1237', 'comments': '', 'post_text': ""YES, because some children don't understand anything expect physical education especially rich children of rich parents."", 'post_issue': 'Should physical education be mandatory in schools:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': 'Yes, because', 'post_inappropriate_part': 'YES, because'}",Should physical education be mandatory in schools:,
795,4,982_v11_only_lm_757,Yeah I have a bottle of water next to me its no bid deal!,2025-12-21 11:50:22.028781,"{'post_id': '982_v11_only_lm_757', 'comments': '', 'post_text': 'Yeah I have a bottle of water next to me its no bid deal!', 'post_issue': 'Ban plastic water bottles:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': ""it's"", 'post_inappropriate_part': 'its'}",Ban plastic water bottles:,
796,4,266_50a_50ss_86,"I don't think that the social elite will go without fair trade or organic even though its riddled with GM, due to snobbery.",2025-12-21 12:58:34.026094,"{'post_id': '266_50a_50ss_86', 'comments': 'Implication of snobbery/elitism lost with edit.', 'post_text': ""I don't think that the social elite will go without fair trade or organic even though its riddled with GM, due to snobbery."", 'post_issue': 'Is fair trade real or just a gimmick to further differentiate products in saturated markets?:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other9', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': 'it may contain GM products', 'post_inappropriate_part': 'its riddled with GM, due to snobbery'}",Is fair trade real or just a gimmick to further differentiate products in saturated markets?:,Implication of snobbery/elitism lost with edit.
797,4,1024_v11_only_lm_809,What a scam!,2025-12-21 13:03:44.431095,"{'post_id': '1024_v11_only_lm_809', 'comments': 'As close as it can get. No real equivalent for idioms.', 'post_text': 'What a scam!', 'post_issue': 'Will someone from the washington post go to jail for treason?:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': 'This seems like a scam!', 'post_inappropriate_part': 'What a scam!'}",Will someone from the washington post go to jail for treason?:,As close as it can get. No real equivalent for idioms.
798,4,1314_v11_only_lm_1079,Nothing.,2025-12-21 13:03:52.791071,"{'post_id': '1314_v11_only_lm_1079', 'comments': '', 'post_text': 'Nothing.', 'post_issue': 'Christianity or atheism:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': 'Nothing of significant value.', 'post_inappropriate_part': 'Nothing.'}",Christianity or atheism:,
799,4,1173_base_model_918,"I rather do something that is going to better my life, but every once in a while I do have my giving moments, so I guess it depends on how I am feeling.",2025-12-21 13:04:05.832678,"{'post_id': '1173_base_model_918', 'comments': '', 'post_text': 'I rather do something that is going to better my life, but every once in a while I do have my giving moments, so I guess it depends on how I am feeling.', 'post_issue': 'Which type of endeavor is better a personal pursuit or advancing the common good:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': 'doing something that benefits me', 'post_inappropriate_part': 'do something that is going to better my life'}",Which type of endeavor is better a personal pursuit or advancing the common good:,
800,4,1977_v11_only_lm_1493,all those sleaseballs selling death deserve to be jobless.,2025-12-21 13:05:46.206415,"{'post_id': '1977_v11_only_lm_1493', 'comments': 'I find the edits that relate to cultural nuances get lost.', 'post_text': 'all those sleaseballs selling death deserve to be jobless.', 'post_issue': 'Will cigarettes finally become illegal?:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other8', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': 'Those selling cigarettes, who contribute to death, deserve to be held accountable.', 'post_inappropriate_part': 'all those sleaseballs selling death deserve to be jobless'}",Will cigarettes finally become illegal?:,I find the edits that relate to cultural nuances get lost.
893,4,1977_50a_50ss_609,it would only save lives and money.,2025-12-21 15:47:09.393300,"{'post_id': '1977_50a_50ss_609', 'comments': '', 'post_text': 'it would only save lives and money.', 'post_issue': 'Will cigarettes finally become illegal?:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': 'It', 'post_inappropriate_part': 'it'}",Will cigarettes finally become illegal?:,
801,4,2128_base_model_1477,Obviously you are better off wearing your seatbelt.,2025-12-21 13:06:02.569093,"{'post_id': '2128_base_model_1477', 'comments': '', 'post_text': 'Obviously you are better off wearing your seatbelt.', 'post_issue': 'Do you think that the government should be able to fine you for not wearing a seat belt?:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': 'Wearing a seatbelt is clearly a safer option.', 'post_inappropriate_part': 'Obviously you are better off wearing your seatbelt.'}",Do you think that the government should be able to fine you for not wearing a seat belt?:,
